Index,Variant,Country,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)",Projection
436,Vital Statistics,Tonga,,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
437,Vital Statistics,Seychelles,,,,,,,2023,119.77,119.77,,,,,,0.67,5.63,,,,1.55,,12.97,,,,,0.88,,,7.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
438,Vital Statistics,United States Virgin Islands,,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
439,Vital Statistics,Antigua and Barbuda,,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
440,Vital Statistics,Isle of Man,,,,,,,2023,0.00,0.00,,,,,,0.60,0.00,,,,0.60,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
441,Vital Statistics,Andorra,,,,,,,2023,85.10,85.10,,,,,,0.10,1.19,,,,0.46,,5.38,,,,,0.36,,,4.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
442,Vital Statistics,Dominica,,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
443,Vital Statistics,Cayman Islands,,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
444,Vital Statistics,Bermuda,,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
445,Vital Statistics,Guernsey,,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
446,Vital Statistics,Greenland,,,,,,,2023,56.70,56.70,,,,,,0.18,3.21,,,,0.72,,12.63,,,,,0.53,,,9.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
447,Vital Statistics,Faroe Islands,,,,,,,2023,54.32,54.32,,,,,,0.17,3.09,,,,0.57,,10.57,,,,,0.41,,,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
448,Vital Statistics,Northern Mariana Islands,,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
449,Vital Statistics,American Samoa,,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
450,Vital Statistics,Saint Kitts and Nevis,,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
451,Vital Statistics,Marshall Islands,,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
452,Vital Statistics,Sint Maarten (Dutch part),,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
453,Vital Statistics,Turks and Caicos Islands,,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
454,Vital Statistics,Liechtenstein,,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
455,Vital Statistics,Monaco,,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
456,Vital Statistics,San Marino,,,,,,,2023,33.81,33.81,,,,,,-0.09,-2.60,,,,0.19,,5.65,,,,,0.28,,,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
457,Vital Statistics,Saint Martin (French part),,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
458,Vital Statistics,Gibraltar,,,,,,,2023,0.00,0.00,,,,,,0.32,0.00,,,,0.32,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
459,Vital Statistics,British Virgin Islands,,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
460,Vital Statistics,"Bonaire, Sint Eustatius and Saba",,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
461,Vital Statistics,Palau,,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
462,Vital Statistics,Cook Islands,,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
463,Vital Statistics,Anguilla,,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
464,Vital Statistics,Nauru,,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
465,Vital Statistics,Wallis and Futuna Islands,,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
466,Vital Statistics,Tuvalu,,,,,,,2023,10.10,10.10,,,,,,0.11,10.40,,,,0.23,,22.97,,,,,0.13,,,12.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
467,Vital Statistics,Saint Barthélemy,,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
468,Vital Statistics,Saint Pierre and Miquelon,,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
469,Vital Statistics,Saint Helena,,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
470,Vital Statistics,Montserrat,,,,,,,2023,4.29,4.29,,,,,,-0.02,-3.49,,,,0.03,,5.82,,,,,0.04,,,9.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
471,Vital Statistics,Falkland Islands (Malvinas),,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
472,Vital Statistics,Niue,,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
473,Vital Statistics,Tokelau,,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
474,Vital Statistics,Holy See,,,,,,,2023,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
